date,open,close,volume,yield,beta,p_e,roe,roa
2025-08-01,1269.5,1191.0,13347980,-0.05738029283735657,,38.3,14.5  %,0.6  %
2025-08-08,1196.0,1273.5,11155687,0.0692695214105794,,38.3,14.5  %,0.6  %
2025-08-15,1250.0,1234.5,11538301,-0.03062426383981154,,38.3,14.5  %,0.6  %
2025-08-22,1223.0,1206.5,28117546,-0.022681247468610777,,38.3,14.5  %,0.6  %
2025-08-29,1207.0,1196.5,7853693,-0.008288437629506817,,38.3,14.5  %,0.6  %
2025-09-05,1197.0,1192.0,7200673,-0.003760969494358557,,38.3,14.5  %,0.6  %
2025-09-12,1194.0,1093.5,8954770,-0.08263422818791943,,38.3,14.5  %,0.6  %
2025-09-19,1094.0,1091.5,8068465,-0.0018289894833104503,,38.3,14.5  %,0.6  %
2025-09-26,1095.5,1027.5,9747362,-0.05863490609253319,,38.3,14.5  %,0.6  %
2025-10-03,1030.0,920.5,7135597,-0.10413625304136254,,38.3,14.5  %,0.6  %
2025-10-10,920.0,905.0,18075054,-0.016838674633351425,,38.3,14.5  %,0.6  %
2025-10-17,905.0,949.5,11087868,0.04917127071823213,,38.3,14.5  %,0.6  %
2025-10-24,960.0,888.0,14441890,-0.06477093206951023,,38.3,14.5  %,0.6  %
2025-10-31,885.0,859.0,7210350,-0.03265765765765771,,38.3,14.5  %,0.6  %
2025-11-07,858.5,871.0,4689693,0.01396973224679865,,38.3,14.5  %,0.6  %
2025-11-14,871.0,858.0,2835465,-0.014925373134328401,,38.3,14.5  %,0.6  %
2025-11-21,858.0,900.0,9176954,0.04895104895104896,,38.3,14.5  %,0.6  %
2025-11-28,913.5,928.0,7305403,0.03111111111111109,,38.3,14.5  %,0.6  %
2025-12-05,930.0,937.0,4106352,0.00969827586206895,,38.3,14.5  %,0.6  %
2025-12-12,937.0,995.0,6625740,0.06189967982924216,,38.3,14.5  %,0.6  %
2025-12-19,996.5,1016.5,12765850,0.02160804020100504,,38.3,14.5  %,0.6  %
2025-12-26,1017.0,982.5,7367021,-0.033448106246925735,,38.3,14.5  %,0.6  %
2026-01-02,985.5,985.0,2980127,0.0025445292620864812,,,,
